Id,Machine Name,Machine Image,Machine link,Bond Placement Repeatability,Bonding Area,Loop Types,UPH,XY Resolution,Z Resolution,Fine Pitch Capability,Loop Height Variation,Wire Length,Wire Capacity,Optics Lens Magnification,S-Scan Vision Engine,Recognition Range,Reference Systems,Camera Type,Depth Of Field,Die Rotation,XY Motors Type,L/F Width,L/F Length,L/F Thickness,Die Site Indexing Pitch,No.of Magazine,No. of Levels,Magazine Width,Magazine Length,Magazine Height,Slot Pitch (Range of Pitch),Spool Diameter,Spool Width,Wire Count,Wire End,Drive Motor Type,Wire Clamp,Bond Time Range,Ultrasonic Mode,Transducer Frequency,Man Machine Interface,Storage Media ,Power Input,Power Consumption,Minimum Air Pressure,Air Consumption,Air Quality,Environmental Requirement,Machine Outline,Machine Weight,Machine Shipping Weight,Indexers,Material Handling Kits,Heavy Wire Kit,Illumination Kit,QFN Kit,Cu Application,Easy CU Convertion,Smart PR,Easy Cu Looping,Smart Wire Handler,Auto Wire Rethread
1,Eagle AERO,eagle-aero.png,../html/Wire Bonders Products/Eagle Aero.html,± 2.0um @ 3-sigma,56mm x 90mm (LF width <=100mm) ,ECX Plus Loop Profile up to 15 kinks  ,24 wires/sec for 2mm,10nm,10nm,45 um BPP for Cu<br>40 um BPP for Au,2 mil (Ultra Low Loop) - 16 mil,0.2 - 8mm,Up to 10000 for Step Repeat Matrix,"Programmable Focus-Dual optical path 7.2X and 1.7X <br>PR Look-Ahead-Dual optical path 5.2X and 1X",-,"± 2.5 mil,
X & Y± 10°(programmable)
",-,CCD,"Programmable Focus:<br>
60 um @ 8.0X<br>
350 um @ 2.0X ",-,"Multi-phase linear motor and fully programmable(Handle multi-type devices)",30 - 105mm  ,140 - 300mm, 0.1 - 0.8mm ,-,3 (40 levels with 0.1'' pitch / 2.54mm),Programmable,32 - 115mm   ,140 - 305mm,180mm (max) ,2.4 - 10mm programmable ,50 mm,50 mm,Yes,Yes,-,Voice coil motor,1 - 255 ms,"Constant Current, Constant Voltage, Constant Power",138 KHz / 80KHz,Windows-based GUI,-,-,Max 1500W,-,"minimum 5 BAR, 150 lpm, Inlet tube OD 12mm",-,-,1200mm (width) x 990mm (length) x 1760mm (height),800Kg,-,Yes,-,NA,NA,NA,NA,NA,NA,NA,NA,Capable
2,iHawk AERO,ihawk-aero.png,../html/Wire Bonders Products/iHawk Aero.html,± 3.0um @ 3-sigma,56mm x 90mm (LF width <=100mm),New Loop Profile ECX for up to 15-kink,24 wires/sec for 2mm,10nm,10nm,45 um BPP for Cu<br>40 um BPP for Au,2mil (Ultra Low Loop) - 16 mil,0.2 - 8mm,Up to 10000 for Step Repeat Matrix,Dual optical path 5.2X and 1X,-,"± 2.5 mil,
X & Y± 10°(programmable)
",-,CCD,"80um @ 5.2X<br>
1000um @ 1X",-,"Multi-phase linear motor and fully programmable(Handle multi-type devices)",30 - 105mm  ,140 - 300mm,0.1 - 0.8mm,-,4 (40 levels with 0.1'' pitch / 2.54mm),Programmable,32 - 115mm   ,140 - 305mm,180mm (max) ,2.4 - 10mm programmable ,50 mm,"50mm, 25mm as option",Yes,Yes,Stepper motor driven,Voice coil motor,-,"Constant Current, Constant Voltage, Constant Power",138 KHz / 80KHz,Windows-based GUI,-,-,Max 1500W,-,"minimum 5 BAR, 150 lpm, Inlet tube OD 12mm",-,-,1200mm (width) x 990mm (length) x 1760mm (height),800Kg,-,Yes,-,NA,NA,NA,NA,NA,NA,NA,NA,Capable
3,TwinEagle Xpress GoCu,twineagle-xpress-gocu.png,../html/Wire Bonders Products/TwinEagle Xpress GoCu.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,
4,iHawk Xpress GoCu,ihawk-xpress-gocu.png,../html/Wire Bonders Products/iHawk Xpress GoCu.html,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Eagle Xpress GoCu,eagle-xpress-gocu.png,../html/Wire Bonders Products/Eagle Xpress GoCu.html,± 2.5um @ 3-sigma,56 mm x 90 mm (LF width <=100mm),"New looping modes (eg Easi 1st kink, 2nd kinks etc.)",20 wires / sec (2mm wire),50nm,40nm,50 um BPP,3 - 16 mil,0.6 - 7 mm,3000,Programmable Focus Optics 8X and 2.0X,-,"± 2.5 mil,
X & Y± 10°(programmable)
",-,CCD,"100 um @ 8X<br>
730 um @ 2.0X",-,"Multi-phase linear motor and fully programmable(Handle multi-type devices)",30 - 100 mm,140 - 300mm,0.1 - 0.8mm,-,4 (40 levels with 0.1'' pitch / 2.54mm),Programmable,30 - 100 mm,140 - 300 mm,180mm (max) ,2.4 - 10 mm Programmable,50 mm,"50mm, 25mm as option",Yes,Yes,Stepper motor driven,Voice coil motor,1 - 255 ms,Multi-mode with programmable BQM board,138kHz,Windows GUI display,-,-,Max 1500W,-,,,,720mm (width) X 820mm (length) X 1600mm (height),750Kg,820Kg,Yes,-,NA,NA,NA,NA,Yes,NA,NA,NA,Capable
6,TwinEagle Xtreme GoCu,twineagle-xtreme-gocu.png,../html/Wire Bonders Products/TwinEagle Xtreme GoCu.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,iHawk Xtreme GoCu,ihawk-xtreme-gocu.png,../html/Wire Bonders Products/iHawk Xtreme GoCu.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Harrier Xtreme GoCu,harrier-xtreme-gocu.png,../html/Wire Bonders Products/Harrier Xtreme GoCu.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Eagle Xtreme GoCu,eagle-xtreme-gocu.png,../html/Wire Bonders Products/Eagle Xtreme GoCu.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,iHawk Xpress XL,ihawk-xpress-XL.png,../html/Wire Bonders Products/iHawk Xpress XL.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
